data,topic,country,language
"{""question"": ""Какой  знак называется ,,Объезд препятствия слева\""?"", ""question_image"": null, ""options"": [""{https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/1.jpg}"", ""{https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/2.jpg}"", ""{https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/3.jpg}"", ""{https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/4.jpg}"", ""{https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/5.jpg}""], ""correct_index"": 3}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Разрешается ли автобусу въезжать на перекресток в данной ситуации?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/6.jpg"", ""options"": [""Разрешается."", ""Запрещается."", ""Разрешается, если автобус движется по установленному маршруту.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Из какой полосы следует поворачивать направо в показанной ситуации?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/7.jpg"", ""options"": [""Только из второй  полосы."", ""Только из крайней правой полосы, обозначенной разметкой  \""A\"".""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""На перекрестке организовано круговое движение. Проезжая часть, по которой Вы подъезжаете к перекрестку имеет две полосы для движения. Какую полосу Вы обязаны занять для поворота при въезде на перекресток?"", ""question_image"": null, ""options"": [""Правую полосу."", ""Левую полосу."", ""Правую или левую полосу.""], ""correct_index"": 3}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Разрешается ли повернуть во двор в этом месте?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/8.jpg"", ""options"": [""Разрешается."", ""Запрещается.""], ""correct_index"": 1}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""На дорогах  с двусторонним движением,  имеющих  три полосы, обозначенные разметкой, из которых  средняя пользуется для движения в обоих направлениях (за исключением дорог с реверсивным регулированием  движения)  выезжать на крайнюю левую полосу:"", ""question_image"": null, ""options"": [""Разрешается."", ""Запрещается."", ""Разрешается, только для  обгона, объезда,  поворота налево или разворота.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""В каком  ответе правильно указано разрешенное направление движения?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/9.jpg"", ""options"": [""Только разворот."", ""Прямо и  разворот."", ""Только прямо.""], ""correct_index"": 3}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""В каком  направлении запрещено движение?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/10.jpg"", ""options"": [""Налево и направо."", ""Прямо и в обратном направлении."", ""Только прямо."", ""Во всех направлениях.""], ""correct_index"": 1}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Разворот запрещается:"", ""question_image"": null, ""options"": [""На пешеходных переходах."", ""В тоннелях."", ""На мостах, путепроводах, эстакадах и под ними."", ""На железнодорожных переездах."", ""Во всех перечисленных случаях.""], ""correct_index"": 5}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
"{""question"": ""Разрешается ли водителю желтого автобуса  выезжать на перекресток?"", ""question_image"": ""https://cdn.jsdelivr.net/gh/vladfediushin/driving-assets@main/Armenia/1/images/11.jpg"", ""options"": [""Разрешается."", ""Запрещается."", ""Разрешается, если автобус движется по установленному маршруту.""], ""correct_index"": 2}","Группа № 1. Маневрирование, построение на проезжей части",AM,ru
