id,data,topic,country,language
1,"{""question"": ""Эти знаки разрешают движение:"", ""options"": [""Только налево."", ""Только прямо."", ""Только направо."", ""Прямо, направо и в обратном направлении.""], ""correct_index"": 3, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/1.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
2,"{""question"": ""Какой знак предоставляет водителю преимущество по отношению к встречным транспортным средствам?"", ""options"": [""1"", ""2"", ""3"", ""4"", ""5""], ""correct_index"": 3, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/2.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
3,"{""question"": ""Разрешается ли заезжать на полосу, обозначенную этим знаком при выполнении правого поворота?"", ""options"": [""Разрешается."", ""Запрещается."", ""Разрешается, если полоса не отделена от остальной проезжей части сплошной линией разметки.""], ""correct_index"": 2, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/3.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
4,"{""question"": ""Этот дорожный знак обозначает:"", ""options"": [""Участок дороги, на котором имеется тротуар или пешеходная дорожка."", ""Участок дороги, на котором имеется пешеходный переход."", ""Участок дороги, не имеющий тротуара или пешеходной дорожки.""], ""correct_index"": 1, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/4.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
5,"{""question"": ""Какой знак запрещает движение транспортных средств с дистанцией между ними, меньшей указанной на знаке?"", ""options"": [""1"", ""2"", ""3"", ""4"", ""5""], ""correct_index"": 2, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/5.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
6,"{""question"": ""На каком расстоянии до начала опасного участка устанавливаются эти знаки в населенных пунктах?"", ""options"": [""1"", ""2"", ""3"", ""4"", ""5""], ""correct_index"": 2, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/6.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
7,"{""question"": ""Этот дорожный знак:"", ""options"": [""Запрещает движение всех механических транспортных средств, за исключением двухколесных мотоциклов без коляски."", ""Запрещает движение всех механических транспортных средств, за исключением колесных тракторов."", ""Запрещается движение тракторов и самоходных машин.""], ""correct_index"": 2, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/7.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
8,"{""question"": ""Какой знак обязывает уступить дорогу встречным транспортным средствам, находящимся на узком участке или противоположном подъезде к нему?"", ""options"": [""1"", ""2"", ""3"", ""4"", ""5""], ""correct_index"": 2, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/8.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
9,"{""question"": ""Какой знак предупреждает о приближении к перекрестку равнозначных дорог?"", ""options"": [""1"", ""2"", ""3"", ""4"", ""5""], ""correct_index"": 4, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/9.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
10,"{""question"": ""Какой знак устанавливается непосредственно перед пересечением проезжих частей?"", ""options"": [""1"", ""2"", ""3"", ""4"", ""5""], ""correct_index"": 1, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/10.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
11,"{""question"": ""Что означает табличка под знаком?"", ""options"": [""Расстояние от знака до начала первого поворота."", ""Расстояние от первого поворота до начала второго поворота."", ""Протяженнось участка дороги с опасными поворотами.""], ""correct_index"": 2, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/11.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
12,"{""question"": ""Что означают эти знаки?"", ""options"": [""Движение мотоциклов направо запрещено."", ""Движение мотоциклов направо разрешено.""], ""correct_index"": 0, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/12.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
13,"{""question"": ""Какой знак запрещает стоянку по четным числам месяца?"", ""options"": [""1"", ""2"", ""3"", ""4"", ""5""], ""correct_index"": 4, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/13.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
14,"{""question"": ""Этот дорожный знак:"", ""options"": [""Разрешает движение только с указанной или большей скоростью."", ""Запрещает движение с большей скоростью, чем указано на знаке."", ""Указывает скорость, с которой рекомендуется движение на данном участке дороги.""], ""correct_index"": 0, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/14.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
15,"{""question"": ""Какой знак требует уступить дорогу встречным транспортным средствам?"", ""options"": [""1"", ""2"", ""3"", ""4"", ""5""], ""correct_index"": 1, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/15.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
16,"{""question"": ""Этот знак называется?"", ""options"": [""Предварительный указатель объезда препятствий."", ""Предварительный указатель перестроения на другую проезжую часть."", ""Предварительный указатель выезда на полосу встречного движения.""], ""correct_index"": 1, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/16.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
17,"{""question"": ""Какой знак обязывает уступить дорогу транспортным средствам, движущимся по пересекаемой дороге?"", ""options"": [""1"", ""2"", ""3"", ""4"", ""5""], ""correct_index"": 2, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/17.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
18,"{""question"": ""Можно ли водителю автобуса обгонять в зоне действия этого знака?"", ""options"": [""Можно во всех случаях с соблюдением правил обгона."", ""Нельзя."", ""Можно при условии, если обгоняемое транспортное средство движется со скоростью менее 30 кмч.""], ""correct_index"": 0, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/18.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
19,"{""question"": ""Какой из знаков разрешает движение только с указанной (кмч) или большей скоростью?"", ""options"": [""1"", ""2"", ""3"", ""4"", ""5""], ""correct_index"": 2, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/19.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
20,"{""question"": ""Какой знак указывает участок дороги с односторонним движением?"", ""options"": [""1"", ""2"", ""3"", ""4"", ""5""], ""correct_index"": 2, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/20.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
21,"{""question"": ""Что указывает табличка под знаком?"", ""options"": [""Протяженность узкого участка дороги."", ""Расстояние от знака до места ограничения."", ""Расстояние до объезда узкого участка дороги.""], ""correct_index"": 1, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/21.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
22,"{""question"": ""Этот дорожный знак предупреждает, что впереди:"", ""options"": [""Участок дороги с водной преградой, не имеющий моста или паромной переправы."", ""Участок дороги с водной преградой, на котором имеется разводной мост."", ""Место, где дорога выходит на набережную или берег.""], ""correct_index"": 2, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/22.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
23,"{""question"": ""Какой из знаков указывает зону действия дорожных знаков, запрещающих остановку и стоянку транспортных средств?"", ""options"": [""1"", ""2"", ""3"", ""4"", ""5""], ""correct_index"": 3, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/23.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
24,"{""question"": ""Какой из знаков указывает протяженность опасного участка дороги, обозначенного преупреждающими знаками?"", ""options"": [""1"", ""2"", ""3"", ""4"", ""5""], ""correct_index"": 3, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/24.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
25,"{""question"": ""Этот дорожный знак обозначает:"", ""options"": [""Дорога с односторонним движением, на которой разрешено движение только грузовых автомобилей."", ""Полосу, предназначенную для движения только грузовых автомобилей."", ""Рекомендуемое направление движения для грузовых автомобилей.""], ""correct_index"": 2, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/25.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
26,"{""question"": ""Какой знак обозначает ,,Гостиницу\"" или ,,Мотель\"" ?"", ""options"": [""1"", ""2"", ""3"", ""4"", ""5""], ""correct_index"": 2, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/26.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
27,"{""question"": ""Таким опознавательным знаком обозначаются автомобили:"", ""options"": [""Перевозящие опасные грузы."", ""Управляемые инвалидами."", ""Управляемые глухонемыми или глухими водителями."", ""Управляемые водителями, имеющими водительский стаж до 3-х лет.""], ""correct_index"": 2, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/27.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
28,"{""question"": ""Какой знак обозначает конец зоны ограничения максимальной скорости 50 кмч?"", ""options"": [""1"", ""2"", ""3"", ""4"", ""5""], ""correct_index"": 1, ""question_image"": ""{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/28.jpg}""}",Группа № 4. Дорожные знаки и дорожная разметка,am,ru
