question_itself,question_image,options,correct_index
"Какой  знак называется ,,Объезд препятствия слева""?",null,"[""{URLLINK/1.jpg}"", ""{URLLINK/2.jpg}"", ""{URLLINK/3.jpg}"", ""{URLLINK/4.jpg}"", ""{URLLINK/5.jpg}""]",3
Разрешается ли автобусу въезжать на перекресток в данной ситуации?,URLLINK/6.jpg,"[""Разрешается."", ""Запрещается."", ""Разрешается, если автобус движется по установленному маршруту.""]",2
Из какой полосы следует поворачивать направо в показанной ситуации?,URLLINK/7.jpg,"[""Только из второй  полосы."", ""Только из крайней правой полосы, обозначенной разметкой  \""A\"".""]",2
"На перекрестке организовано круговое движение. Проезжая часть, по которой Вы подъезжаете к перекрестку имеет две полосы для движения. Какую полосу Вы обязаны занять для поворота при въезде на перекресток?",null,"[""Правую полосу."", ""Левую полосу."", ""Правую или левую полосу.""]",3
Разрешается ли повернуть во двор в этом месте?,URLLINK/8.jpg,"[""Разрешается."", ""Запрещается.""]",1
"На дорогах  с двусторонним движением,  имеющих  три полосы, обозначенные разметкой, из которых  средняя пользуется для движения в обоих направлениях (за исключением дорог с реверсивным регулированием  движения)  выезжать на крайнюю левую полосу:",null,"[""Разрешается."", ""Запрещается."", ""Разрешается, только для  обгона, объезда,  поворота налево или разворота.""]",2
В каком  ответе правильно указано разрешенное направление движения?,URLLINK/9.jpg,"[""Только разворот."", ""Прямо и  разворот."", ""Только прямо.""]",3
В каком  направлении запрещено движение?,URLLINK/10.jpg,"[""Налево и направо."", ""Прямо и в обратном направлении."", ""Только прямо."", ""Во всех направлениях.""]",1
Разворот запрещается:,null,"[""На пешеходных переходах."", ""В тоннелях."", ""На мостах, путепроводах, эстакадах и под ними."", ""На железнодорожных переездах."", ""Во всех перечисленных случаях.""]",5
Разрешается ли водителю желтого автобуса  выезжать на перекресток?,URLLINK/11.jpg,"[""Разрешается."", ""Запрещается."", ""Разрешается, если автобус движется по установленному маршруту.""]",2
В каком  ответе правильно указано разрешенное  направление движения?,URLLINK/12.jpg,"[""Прямо и налево -во двор."", ""Только прямо."", ""Только разворот."", ""Прямо и  разворот.""]",2
"Разворот запрещается, если видимость дороги хотя бы в одном направлении менее:",null,"[""100 м."", ""150 м."", ""300 м.""]",1
"Вы движетесь по дороге с двусторонним движением, имеющей три полосы. В каком случае разрешается въезжать на среднюю полосу?",null,"[""Только для обгона."", ""Только для объезда."", ""Только для поворота налево или разворота."", ""Во всех перечисленных случаях.""]",4
В каком направлении разрешается движение грузового автомобиля?,URLLINK/13.jpg,"[""Только направо."", ""Направо, налево и в обратном направлении."", ""Только налево.""]",2
На каком рисунке водитель правильно выполняет   маневр?,null,"[""{URLLINK/14.jpg}"", ""{URLLINK/15.jpg}"", ""{URLLINK/16.jpg}"", ""{URLLINK/17.jpg}""]",1
Водитель какого транспортного средства правильно выполняет разворот?,URLLINK/18.jpg,"[""Водитель синего автомобиля."", ""Водитель красного автомобиля."", ""Оба водителя.""]",2
"На дорогах с двусторонним движением, при отсутствии   дорожных знаков, разметки и  разделительной полосы,  находящиеся   на проезжей   части   дороги   элементы   дорожных сооружений водители должны объезжать:",null,"[""Справа."", ""Слева.""]",1
В каком  направлении запрещено движение?,URLLINK/19.jpg,"[""Только налево."", ""Только направо."", ""Прямо и налево."", ""Во всех направлениях.""]",2
"Водитель какого транспортного средства нарушает правила поворота с дороги, на которой есть полоса торможения?",URLLINK/20.jpg,"[""Оба водителя."", ""Водитель желтого автомобиля."", ""Оба водителя поворачивают правильно.""]",2
Разрешается ли в этой обстановке водителю красного автомобиля продолжать движение?,URLLINK/21.jpg,"[""Разрешается."", ""Запрещается.""]",2
"По дороге с двусторонним движением, имеющей три полосы, Вам необходимо повернуть налево. Из какой полосы Вы осуществите данный маневр?",null,"[""С правой полосы."", ""Со средней полосы."", ""С правой или средней полосы."", ""Со средней полосы, когда занята правая полоса.""]",2
Разрешается ли водителю красного автомобиля двигаться по трамвайным путям?,URLLINK/22.jpg,"[""Разрешается."", ""Запрещается.""]",1
Разворот запрещается:,null,"[""На пешеходных переходах и в тоннелях."", ""На мостах, путепроводах, эстакадах и под ними."", ""На железнодорожных переездах."", ""При видимости дороги менее 100 м хотя бы в одном направлении."", ""Во всех перечисленных случаях.""]",5
В каком направлении разрешается движение?,URLLINK/23.jpg,"[""Только налево."", ""Прямо, налево и разворот."", ""Только прямо.""]",2
Водители каких транспортных средств нарушили требования дорожного знака?,URLLINK/24.jpg,"[""Водители мотоциклов."", ""Водители автомобиля и мотоцикла с боковым прицепом."", ""Только водитель автомобиля."", ""Водители всех транспортных средств.""]",4
При одновременном перестроении попутно движущихся транспортных средств дорогу должен уступить:,null,"[""Водитель транспортного средства, находящийся слева."", ""Водитель транспортного средства, находящийся справа.""]",1
Водитель какого  транспортного  средства имеет преимущество на первоочередное движение?,URLLINK/25.jpg,"[""Водитель грузового автомобиля."", ""Водитель автобуса.""]",1
"Должен ли водитель автобуса, движущегося по установленному маршруту, уступать дорогу в данной ситуации?",URLLINK/26.jpg,"[""Должен."", ""Не должен."", ""Не должен, так как он движется прямо.""]",1
"Если встречный разъезд на уклонах, обозначенных соответстующим знаком, затруднен, необходимо уступить дорогу:",null,"[""Транспортному средству, движущегося на спуск."", ""Транспортному средству общего пользования."", ""Транспортному средству, движущегося на подъем.""]",3
Водитель какого транспортного средства должен уступить дорогу?,URLLINK/27.jpg,"[""Водитель трактора."", ""Водитель автобуса.""]",2
