question,options,correct_index,question_image
Эти знаки разрешают движение:,"[""Только   налево."", ""Только   прямо."", ""Только направо."", ""Прямо, направо и в обратном направлении.""]",3,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/1.jpg}
Какой знак  предоставляет  водителю преимущество по отношению к встречным транспортным  средствам?,"[""1"", ""2"", ""3"", ""4"", ""5""]",3,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/2.jpg}
"Разрешается ли  заезжать  на полосу, обозначенную  этим знаком при выполнении  правого поворота?","[""Разрешается."", ""Запрещается."", ""Разрешается, если полоса не отделена от остальной проезжей части  сплошной  линией разметки.""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/3.jpg}
Этот  дорожный знак обозначает:,"[""Участок дороги, на котором имеется тротуар или пешеходная дорожка."", ""Участок дороги, на котором имеется пешеходный переход."", ""Участок дороги, не имеющий тротуара или пешеходной дорожки.""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/4.jpg}
"Какой знак  запрещает  движение транспортных  средств с дистанцией между ними, меньшей указанной на знаке?","[""1"", ""2"", ""3"", ""4"", ""5""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/5.jpg}
На каком расстоянии до начала опасного участка устанавливаются  эти   знаки в населенных пунктах?,"[""1"", ""2"", ""3"", ""4"", ""5""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/6.jpg}
Этот  дорожный знак:,"[""Запрещает движение всех механических транспортных средств, за исключением двухколесных мотоциклов без коляски."", ""Запрещает движение всех механических транспортных средств, за исключением колесных тракторов."", ""Запрещается движение тракторов и самоходных машин.""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/7.jpg}
"Какой знак обязывает уступить дорогу встречным  транспортным средствам, находящимся на узком участке или противоположном подъезде к нему?","[""1"", ""2"", ""3"", ""4"", ""5""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/8.jpg}
Какой знак предупреждает о приближении к перекрестку равнозначных дорог?,"[""1"", ""2"", ""3"", ""4"", ""5""]",4,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/9.jpg}
Какой знак устанавливается непосредственно перед пересечением проезжих частей?,"[""1"", ""2"", ""3"", ""4"", ""5""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/10.jpg}
Что означает табличка под знаком?,"[""Расстояние от знака до начала первого поворота."", ""Расстояние от первого поворота до начала  второго поворота."", ""Протяженнось участка дороги  с опасными поворотами.""]",2,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/11.jpg}
Что означают  эти знаки?,"[""Движение мотоциклов   направо запрещено."", ""Движение мотоциклов   направо разрешено.""]",0,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/12.jpg}
Какой знак запрещает  стоянку по четным числам месяца?,"[""1"", ""2"", ""3"", ""4"", ""5""]",4,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/13.jpg}
Этот  дорожный знак:,"[""Разрешает движение только с указанной или большей скоростью."", ""Запрещает движение с большей скоростью, чем указано на знаке."", ""Указывает скорость, с которой рекомендуется движение на данном участке дороги.""]",0,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/14.jpg}
Какой знак  требует уступить  дорогу  встречным транспортным средствам?,"[""1"", ""2"", ""3"", ""4"", ""5""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/15.jpg}
Этот  знак называется?,"[""Предварительный указатель объезда препятствий."", ""Предварительный указатель  перестроения на другую  проезжую часть."", ""Предварительный указатель  выезда  на полосу встречного движения.""]",1,{https://github.com/vladfediushin/driving-assets/blob/main/Armenia/4/images/16.jpg}
