data,topic,country,language
"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" пассажиром является:"", ""options"": [""Лицо, кроме водителя и обучающего вождению, находящееся в салоне (кабине) транспортного средства (на нем)."", ""Лицо, кроме водителя и обучающего вождению, находящееся в салоне (кабине) транспортного средства (на нем), а также лицо, которое входит в транспортное средство (садится на него) или выходит из транспортного средства (сходит с него).""], ""correct_index"": 1, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" водительское удостоверение на право управления транспортными средствами категории „А” может быть выдано лицам, достигшим:"", ""options"": [""16 - летнего возраста."", ""17 - летнего возраста."", ""18 - летнего возраста.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” водительское удостоверение на право управления транспортными средствами категории „Е” может быть выдано лицам, достигшим:"", ""options"": [""17 - летнего возраста."", ""18 - летнего возраста."", ""19- летнего возраста.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” „Проезжая часть дороги” это:"", ""options"": [""Элемент дороги, предназначенный для движения транспортных средств."", ""Элемент дороги, предназначенный для движения безрельсовых транспортных средств.""], ""correct_index"": 1, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"",Вынужденная остановка” это:"", ""options"": [""Прекращение движения, связанное с неожиданным включением запрещающего сигнала светофора."", ""Прекращение движения, из-за образовавшегося на дороге затора."", ""Приведение транспортного средства в состояние покоя, из-за его неисправности, физического и (или) душевного состояния водителя (пассажира), и (или) опасности, обусловленной перевозимым грузом или появлением на дороге иного препятствия."", ""Все перечисленные случаи.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” „Недостаточная видимость\"" это:"", ""options"": [""Видимость в темное время суток."", ""Видимость дороги в населенных пунктах при отсутствии искусственного освещения проезжей части."", ""Видимость дороги во время тумана, дождя, снегопада и (или) при иных погодных условиях, недостаточных для обеспечения безопасности дорожного движения, а также видимость дороги в темное время суток, и (или) видимость менее 300м.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” „Остановка” это:"", ""options"": [""Приведение транспортного средства в состояние покоя на время до 5 минут и (или) на время, необходимое для посадки, высадки и (или) загрузки, разгрузки транспортного средства."", ""Приведение транспортного средства в состояние покоя на время более 5 минут, если это не связано с посадкой, высадкой пассажиров или загрузкой, разгрузкой транспортного средства.""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения“ „Транспортное средство общего пользования\"", это:"", ""options"": [""Транспортное средство (трамвай, троллейбус, автобус), перевозящее пассажиров и (или) багаж и движущееся по маршрутам, имеющим остановочные места (остановки),"", ""Транспортное средство (трамвай, троллейбус, автобус, легковой автомобиль „такси“), перевозящее пассажиров и (или) багаж и движущееся по маршрутам, имеющим остановочные места (остановки). Отв.” 1""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” к пешеходам приравниваются:"", ""options"": [""Инвалиды, передвигающиеся в инвалидных колясках без двигателя."", ""Лица, ведущие (толкающие) тележку, санки, детскую или инвалидную коляску."", ""Все перечисленные лица.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" „ Прицеп (полуприцеп)\"", это:"", ""options"": [""Любое механическое транспортное средство, буксируемое на жесткой сцепке."", ""Не оборудованное двигателем транспортное средство, которое предназначено для движения как одно целое в составе с механическим транспортным средством.""], ""correct_index"": 1, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” на дорогах Республики Армения установлено:"", ""options"": [""Правостороннее движение."", ""Левостороннее движение.""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" со дня приобретения транспортое средство должно быть представлено для постановки на регистрации в органы Дорожной полиции:"", ""options"": [""В течение 15 дней."", ""В течение 10 дней."", ""В течение 20 дней.""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” за сохранение транспортного средства в технически исправном состоянии ответственность несет:"", ""options"": [""Владелец или лицо, пользующееся транспортным средством."", ""Организация, которая продала транспортное средство."", ""Организация, которая проводила последний годовой технический осмотр транспортного средства."", ""Все перечисленное лица и организации.""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" водитель транспортного средства перед выездом обязан проверить:"", ""options"": [""Исправность тормозной системы и рулевого управления транспортного средства."", ""Соответствие остаточной высоты рисунка протектора шин транспортного средства установленным нормам."", ""Все перечисленное.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” водитель, в порядке оказания помощи, обязан предоставить транспортное средство:"", ""options"": [""Служащим полиции для перевозки в медицинское учреждение лиц, нуждающихся в срочной медицинской помощи."", ""Медицинским работникам (с согласия водителя), которые следуют в попутном направлении для оказания медицинской помощи."", ""В обоих случаях.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" водитель транспортного средства, имеющего отношение к дорожно-транспортному происшествию, обязан:"", ""options"": [""Незамедлительно остановить транспортное средство."", ""Включить аварийную сигнализацию."", ""О происшествии сообщить в полицию."", ""Совершить все перечисленные действия.""], ""correct_index"": 3, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
